S.No,Team Size,Release Frequency,Compliance,Scalability,Project Size,Project Length,Security Level,Recommended Tools
4283,Medium,Weekly,Low,None,Small,Medium,Moderate,"CircleCI, GitLab, Docker, ELK Stack, None, SonarQube, Ansible, Nexus Repository"
4284,Large,Monthly,High,Manual,Small,Long,Strict,"Travis CI, Bitbucket, Docker, Prometheus, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
4285,Small,Weekly,Medium,Manual,Large,Medium,Moderate,"Jenkins, GitLab, Docker, Grafana, Docker Swarm, SonarQube, Ansible, JFrog Artifactory"
4286,Large,Monthly,Medium,Manual,Small,Short,Moderate,"Travis CI, Bitbucket, Docker, Grafana, Docker Swarm, SonarQube, Terraform, Nexus Repository"
4287,Small,Daily,Low,Manual,Small,Long,None,"Jenkins, GitHub, Docker, ELK Stack, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
4288,Large,Weekly,Medium,None,Small,Medium,Strict,"Travis CI, GitLab, Docker, Grafana, None, HashiCorp Vault, Ansible, Nexus Repository"
4289,Large,Weekly,Low,Auto-scaling,Medium,Short,Moderate,"Travis CI, GitLab, Docker, ELK Stack, Kubernetes, SonarQube, Terraform, Nexus Repository"
4290,Large,Daily,Medium,Auto-scaling,Medium,Short,None,"Travis CI, GitHub, Docker, Grafana, Kubernetes, OWASP ZAP, Terraform, Nexus Repository"
4291,Small,Monthly,Medium,Auto-scaling,Large,Short,None,"Jenkins, Bitbucket, Docker, Grafana, Kubernetes, OWASP ZAP, Terraform, JFrog Artifactory"
4292,Small,Monthly,Low,Auto-scaling,Small,Short,Strict,"Jenkins, Bitbucket, Docker, ELK Stack, Kubernetes, HashiCorp Vault, Terraform, Nexus Repository"
4293,Medium,Monthly,Medium,None,Large,Long,Strict,"CircleCI, Bitbucket, Docker, Grafana, None, HashiCorp Vault, Ansible, JFrog Artifactory"
4294,Small,Weekly,High,Manual,Large,Long,Moderate,"Jenkins, GitLab, Docker, Prometheus, Docker Swarm, SonarQube, Ansible, JFrog Artifactory"
4295,Large,Daily,High,None,Large,Short,Strict,"Travis CI, GitHub, Docker, Prometheus, None, HashiCorp Vault, Terraform, JFrog Artifactory"
4296,Large,Monthly,Medium,Manual,Medium,Short,None,"Travis CI, Bitbucket, Docker, Grafana, Docker Swarm, OWASP ZAP, Terraform, Nexus Repository"
4297,Small,Daily,Low,Auto-scaling,Large,Medium,Strict,"Jenkins, GitHub, Docker, ELK Stack, Kubernetes, HashiCorp Vault, Ansible, JFrog Artifactory"
4298,Medium,Daily,Medium,Manual,Large,Short,None,"CircleCI, GitHub, Docker, Grafana, Docker Swarm, OWASP ZAP, Terraform, JFrog Artifactory"
4299,Small,Weekly,Low,Auto-scaling,Large,Long,None,"Jenkins, GitLab, Docker, ELK Stack, Kubernetes, OWASP ZAP, Ansible, JFrog Artifactory"
4300,Medium,Weekly,Medium,Auto-scaling,Large,Long,Moderate,"CircleCI, GitLab, Docker, Grafana, Kubernetes, SonarQube, Ansible, JFrog Artifactory"
4301,Large,Monthly,Medium,Auto-scaling,Medium,Short,Moderate,"Travis CI, Bitbucket, Docker, Grafana, Kubernetes, SonarQube, Terraform, Nexus Repository"
4302,Large,Weekly,High,Manual,Small,Long,Strict,"Travis CI, GitLab, Docker, Prometheus, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
4303,Small,Daily,Medium,Auto-scaling,Medium,Short,Strict,"Jenkins, GitHub, Docker, Grafana, Kubernetes, HashiCorp Vault, Terraform, Nexus Repository"
4304,Small,Daily,Medium,Auto-scaling,Medium,Medium,None,"Jenkins, GitHub, Docker, Grafana, Kubernetes, OWASP ZAP, Ansible, Nexus Repository"
4305,Medium,Monthly,Low,Manual,Small,Short,Moderate,"CircleCI, Bitbucket, Docker, ELK Stack, Docker Swarm, SonarQube, Terraform, Nexus Repository"
4306,Large,Weekly,High,Manual,Small,Long,Moderate,"Travis CI, GitLab, Docker, Prometheus, Docker Swarm, SonarQube, Ansible, Nexus Repository"
4307,Large,Weekly,Medium,Auto-scaling,Medium,Long,Strict,"Travis CI, GitLab, Docker, Grafana, Kubernetes, HashiCorp Vault, Ansible, Nexus Repository"
4308,Large,Daily,High,Auto-scaling,Small,Long,None,"Travis CI, GitHub, Docker, Prometheus, Kubernetes, OWASP ZAP, Ansible, Nexus Repository"
4309,Medium,Monthly,High,None,Small,Medium,None,"CircleCI, Bitbucket, Docker, Prometheus, None, OWASP ZAP, Ansible, Nexus Repository"
4310,Medium,Daily,Medium,Manual,Small,Medium,None,"CircleCI, GitHub, Docker, Grafana, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
4311,Large,Monthly,Low,Auto-scaling,Medium,Long,Moderate,"Travis CI, Bitbucket, Docker, ELK Stack, Kubernetes, SonarQube, Ansible, Nexus Repository"
4312,Medium,Daily,Medium,Auto-scaling,Small,Medium,None,"CircleCI, GitHub, Docker, Grafana, Kubernetes, OWASP ZAP, Ansible, Nexus Repository"
4313,Medium,Weekly,High,Auto-scaling,Small,Long,Strict,"CircleCI, GitLab, Docker, Prometheus, Kubernetes, HashiCorp Vault, Ansible, Nexus Repository"
4314,Large,Monthly,Medium,None,Small,Medium,Moderate,"Travis CI, Bitbucket, Docker, Grafana, None, SonarQube, Ansible, Nexus Repository"
4315,Small,Daily,Low,Manual,Large,Short,None,"Jenkins, GitHub, Docker, ELK Stack, Docker Swarm, OWASP ZAP, Terraform, JFrog Artifactory"
4316,Medium,Monthly,Low,None,Small,Medium,None,"CircleCI, Bitbucket, Docker, ELK Stack, None, OWASP ZAP, Ansible, Nexus Repository"
4317,Small,Weekly,High,Manual,Small,Short,None,"Jenkins, GitLab, Docker, Prometheus, Docker Swarm, OWASP ZAP, Terraform, Nexus Repository"
4318,Medium,Monthly,High,None,Small,Medium,Strict,"CircleCI, Bitbucket, Docker, Prometheus, None, HashiCorp Vault, Ansible, Nexus Repository"
4319,Large,Monthly,Medium,Manual,Medium,Long,Moderate,"Travis CI, Bitbucket, Docker, Grafana, Docker Swarm, SonarQube, Ansible, Nexus Repository"
4320,Medium,Daily,High,Manual,Medium,Long,Moderate,"CircleCI, GitHub, Docker, Prometheus, Docker Swarm, SonarQube, Ansible, Nexus Repository"
4321,Medium,Weekly,Medium,Manual,Small,Long,Strict,"CircleCI, GitLab, Docker, Grafana, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
4322,Small,Daily,High,Auto-scaling,Medium,Long,None,"Jenkins, GitHub, Docker, Prometheus, Kubernetes, OWASP ZAP, Ansible, Nexus Repository"
4323,Medium,Monthly,High,None,Small,Short,Moderate,"CircleCI, Bitbucket, Docker, Prometheus, None, SonarQube, Terraform, Nexus Repository"
4324,Large,Weekly,Medium,Manual,Medium,Medium,Moderate,"Travis CI, GitLab, Docker, Grafana, Docker Swarm, SonarQube, Ansible, Nexus Repository"
4325,Large,Daily,Medium,Manual,Large,Short,Moderate,"Travis CI, GitHub, Docker, Grafana, Docker Swarm, SonarQube, Terraform, JFrog Artifactory"
4326,Medium,Daily,Low,Manual,Medium,Medium,None,"CircleCI, GitHub, Docker, ELK Stack, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
4327,Medium,Weekly,Low,None,Medium,Medium,Moderate,"CircleCI, GitLab, Docker, ELK Stack, None, SonarQube, Ansible, Nexus Repository"
4328,Large,Monthly,Medium,None,Large,Long,Moderate,"Travis CI, Bitbucket, Docker, Grafana, None, SonarQube, Ansible, JFrog Artifactory"
4329,Small,Monthly,Low,None,Medium,Medium,Strict,"Jenkins, Bitbucket, Docker, ELK Stack, None, HashiCorp Vault, Ansible, Nexus Repository"
4330,Small,Monthly,Medium,None,Large,Long,None,"Jenkins, Bitbucket, Docker, Grafana, None, OWASP ZAP, Ansible, JFrog Artifactory"
4331,Small,Monthly,Low,Manual,Large,Long,None,"Jenkins, Bitbucket, Docker, ELK Stack, Docker Swarm, OWASP ZAP, Ansible, JFrog Artifactory"
4332,Large,Weekly,Medium,Manual,Large,Long,Moderate,"Travis CI, GitLab, Docker, Grafana, Docker Swarm, SonarQube, Ansible, JFrog Artifactory"
4333,Small,Daily,Low,None,Large,Short,Strict,"Jenkins, GitHub, Docker, ELK Stack, None, HashiCorp Vault, Terraform, JFrog Artifactory"
4334,Medium,Weekly,Low,Manual,Large,Medium,Moderate,"CircleCI, GitLab, Docker, ELK Stack, Docker Swarm, SonarQube, Ansible, JFrog Artifactory"
4335,Large,Daily,Medium,None,Large,Long,Strict,"Travis CI, GitHub, Docker, Grafana, None, HashiCorp Vault, Ansible, JFrog Artifactory"
4336,Large,Daily,Low,Manual,Small,Short,None,"Travis CI, GitHub, Docker, ELK Stack, Docker Swarm, OWASP ZAP, Terraform, Nexus Repository"
4337,Small,Daily,Medium,Manual,Large,Medium,Moderate,"Jenkins, GitHub, Docker, Grafana, Docker Swarm, SonarQube, Ansible, JFrog Artifactory"
4338,Medium,Monthly,Medium,Manual,Small,Long,Moderate,"CircleCI, Bitbucket, Docker, Grafana, Docker Swarm, SonarQube, Ansible, Nexus Repository"
4339,Small,Daily,Low,Auto-scaling,Large,Long,Moderate,"Jenkins, GitHub, Docker, ELK Stack, Kubernetes, SonarQube, Ansible, JFrog Artifactory"
4340,Large,Daily,Low,Manual,Small,Long,Strict,"Travis CI, GitHub, Docker, ELK Stack, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
4341,Small,Monthly,High,Auto-scaling,Small,Medium,Strict,"Jenkins, Bitbucket, Docker, Prometheus, Kubernetes, HashiCorp Vault, Ansible, Nexus Repository"
4342,Small,Daily,Low,None,Large,Long,None,"Jenkins, GitHub, Docker, ELK Stack, None, OWASP ZAP, Ansible, JFrog Artifactory"
4343,Large,Weekly,High,Auto-scaling,Small,Medium,Moderate,"Travis CI, GitLab, Docker, Prometheus, Kubernetes, SonarQube, Ansible, Nexus Repository"
4344,Medium,Monthly,Low,None,Medium,Long,Moderate,"CircleCI, Bitbucket, Docker, ELK Stack, None, SonarQube, Ansible, Nexus Repository"
4345,Small,Monthly,High,None,Medium,Medium,Moderate,"Jenkins, Bitbucket, Docker, Prometheus, None, SonarQube, Ansible, Nexus Repository"
4346,Large,Monthly,High,Manual,Small,Medium,Strict,"Travis CI, Bitbucket, Docker, Prometheus, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
4347,Large,Monthly,High,Auto-scaling,Small,Long,Strict,"Travis CI, Bitbucket, Docker, Prometheus, Kubernetes, HashiCorp Vault, Ansible, Nexus Repository"
4348,Small,Monthly,High,Auto-scaling,Large,Short,Strict,"Jenkins, Bitbucket, Docker, Prometheus, Kubernetes, HashiCorp Vault, Terraform, JFrog Artifactory"
4349,Medium,Daily,Low,Auto-scaling,Medium,Long,Moderate,"CircleCI, GitHub, Docker, ELK Stack, Kubernetes, SonarQube, Ansible, Nexus Repository"
4350,Small,Weekly,Low,Manual,Medium,Long,Strict,"Jenkins, GitLab, Docker, ELK Stack, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
4351,Medium,Daily,Low,None,Small,Short,Moderate,"CircleCI, GitHub, Docker, ELK Stack, None, SonarQube, Terraform, Nexus Repository"
4352,Medium,Monthly,High,None,Large,Long,None,"CircleCI, Bitbucket, Docker, Prometheus, None, OWASP ZAP, Ansible, JFrog Artifactory"
4353,Small,Weekly,High,Auto-scaling,Medium,Medium,Strict,"Jenkins, GitLab, Docker, Prometheus, Kubernetes, HashiCorp Vault, Ansible, Nexus Repository"
4354,Small,Daily,High,Manual,Large,Long,None,"Jenkins, GitHub, Docker, Prometheus, Docker Swarm, OWASP ZAP, Ansible, JFrog Artifactory"
4355,Large,Monthly,High,None,Small,Medium,Moderate,"Travis CI, Bitbucket, Docker, Prometheus, None, SonarQube, Ansible, Nexus Repository"
4356,Small,Daily,Medium,Auto-scaling,Large,Long,None,"Jenkins, GitHub, Docker, Grafana, Kubernetes, OWASP ZAP, Ansible, JFrog Artifactory"
4357,Medium,Monthly,High,Auto-scaling,Large,Short,Moderate,"CircleCI, Bitbucket, Docker, Prometheus, Kubernetes, SonarQube, Terraform, JFrog Artifactory"
4358,Large,Monthly,Low,None,Large,Medium,Strict,"Travis CI, Bitbucket, Docker, ELK Stack, None, HashiCorp Vault, Ansible, JFrog Artifactory"
4359,Medium,Monthly,Medium,Auto-scaling,Small,Short,Strict,"CircleCI, Bitbucket, Docker, Grafana, Kubernetes, HashiCorp Vault, Terraform, Nexus Repository"
4360,Small,Daily,Low,Auto-scaling,Large,Long,None,"Jenkins, GitHub, Docker, ELK Stack, Kubernetes, OWASP ZAP, Ansible, JFrog Artifactory"
4361,Large,Monthly,Low,None,Large,Long,Strict,"Travis CI, Bitbucket, Docker, ELK Stack, None, HashiCorp Vault, Ansible, JFrog Artifactory"
4362,Large,Monthly,Low,Manual,Medium,Long,None,"Travis CI, Bitbucket, Docker, ELK Stack, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
4363,Small,Daily,Medium,Manual,Medium,Long,None,"Jenkins, GitHub, Docker, Grafana, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
4364,Medium,Monthly,Medium,Auto-scaling,Medium,Long,Strict,"CircleCI, Bitbucket, Docker, Grafana, Kubernetes, HashiCorp Vault, Ansible, Nexus Repository"
4365,Large,Daily,Low,None,Large,Short,Strict,"Travis CI, GitHub, Docker, ELK Stack, None, HashiCorp Vault, Terraform, JFrog Artifactory"
4366,Large,Weekly,Medium,Manual,Large,Long,Strict,"Travis CI, GitLab, Docker, Grafana, Docker Swarm, HashiCorp Vault, Ansible, JFrog Artifactory"
4367,Small,Monthly,Medium,None,Large,Short,None,"Jenkins, Bitbucket, Docker, Grafana, None, OWASP ZAP, Terraform, JFrog Artifactory"
4368,Large,Daily,Medium,Manual,Medium,Medium,Moderate,"Travis CI, GitHub, Docker, Grafana, Docker Swarm, SonarQube, Ansible, Nexus Repository"
4369,Large,Daily,Medium,Auto-scaling,Large,Long,None,"Travis CI, GitHub, Docker, Grafana, Kubernetes, OWASP ZAP, Ansible, JFrog Artifactory"
4370,Small,Daily,Low,Manual,Medium,Short,Strict,"Jenkins, GitHub, Docker, ELK Stack, Docker Swarm, HashiCorp Vault, Terraform, Nexus Repository"
4371,Medium,Weekly,Medium,Auto-scaling,Small,Short,Moderate,"CircleCI, GitLab, Docker, Grafana, Kubernetes, SonarQube, Terraform, Nexus Repository"
4372,Large,Weekly,Low,Manual,Large,Short,Strict,"Travis CI, GitLab, Docker, ELK Stack, Docker Swarm, HashiCorp Vault, Terraform, JFrog Artifactory"
4373,Medium,Daily,Medium,None,Small,Medium,None,"CircleCI, GitHub, Docker, Grafana, None, OWASP ZAP, Ansible, Nexus Repository"
4374,Small,Daily,Low,None,Small,Medium,None,"Jenkins, GitHub, Docker, ELK Stack, None, OWASP ZAP, Ansible, Nexus Repository"
4375,Medium,Daily,Medium,Auto-scaling,Small,Medium,Strict,"CircleCI, GitHub, Docker, Grafana, Kubernetes, HashiCorp Vault, Ansible, Nexus Repository"
4376,Medium,Daily,High,Auto-scaling,Small,Medium,Strict,"CircleCI, GitHub, Docker, Prometheus, Kubernetes, HashiCorp Vault, Ansible, Nexus Repository"
4377,Small,Monthly,High,Auto-scaling,Medium,Short,Moderate,"Jenkins, Bitbucket, Docker, Prometheus, Kubernetes, SonarQube, Terraform, Nexus Repository"
4378,Large,Weekly,Low,Manual,Small,Medium,Strict,"Travis CI, GitLab, Docker, ELK Stack, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
4379,Medium,Weekly,Medium,Manual,Large,Long,Strict,"CircleCI, GitLab, Docker, Grafana, Docker Swarm, HashiCorp Vault, Ansible, JFrog Artifactory"
4380,Small,Monthly,Low,Manual,Medium,Short,None,"Jenkins, Bitbucket, Docker, ELK Stack, Docker Swarm, OWASP ZAP, Terraform, Nexus Repository"
4381,Small,Monthly,Medium,None,Medium,Short,Strict,"Jenkins, Bitbucket, Docker, Grafana, None, HashiCorp Vault, Terraform, Nexus Repository"
4382,Medium,Daily,Medium,Auto-scaling,Small,Short,Strict,"CircleCI, GitHub, Docker, Grafana, Kubernetes, HashiCorp Vault, Terraform, Nexus Repository"
4383,Small,Daily,High,Auto-scaling,Small,Long,Strict,"Jenkins, GitHub, Docker, Prometheus, Kubernetes, HashiCorp Vault, Ansible, Nexus Repository"
4384,Medium,Weekly,Low,Auto-scaling,Large,Short,Strict,"CircleCI, GitLab, Docker, ELK Stack, Kubernetes, HashiCorp Vault, Terraform, JFrog Artifactory"
4385,Large,Weekly,Low,Manual,Small,Short,Strict,"Travis CI, GitLab, Docker, ELK Stack, Docker Swarm, HashiCorp Vault, Terraform, Nexus Repository"
4386,Large,Monthly,Low,None,Large,Medium,Strict,"Travis CI, Bitbucket, Docker, ELK Stack, None, HashiCorp Vault, Ansible, JFrog Artifactory"
4387,Large,Daily,High,Auto-scaling,Small,Medium,Moderate,"Travis CI, GitHub, Docker, Prometheus, Kubernetes, SonarQube, Ansible, Nexus Repository"
4388,Large,Monthly,Medium,None,Small,Short,Moderate,"Travis CI, Bitbucket, Docker, Grafana, None, SonarQube, Terraform, Nexus Repository"
4389,Medium,Daily,Low,None,Large,Short,Strict,"CircleCI, GitHub, Docker, ELK Stack, None, HashiCorp Vault, Terraform, JFrog Artifactory"
4390,Medium,Monthly,High,Manual,Medium,Medium,Strict,"CircleCI, Bitbucket, Docker, Prometheus, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
4391,Large,Monthly,High,Manual,Large,Long,Strict,"Travis CI, Bitbucket, Docker, Prometheus, Docker Swarm, HashiCorp Vault, Ansible, JFrog Artifactory"
4392,Small,Daily,Low,Manual,Medium,Short,Moderate,"Jenkins, GitHub, Docker, ELK Stack, Docker Swarm, SonarQube, Terraform, Nexus Repository"
4393,Large,Weekly,Low,None,Medium,Long,Moderate,"Travis CI, GitLab, Docker, ELK Stack, None, SonarQube, Ansible, Nexus Repository"
4394,Medium,Weekly,Low,Manual,Large,Short,None,"CircleCI, GitLab, Docker, ELK Stack, Docker Swarm, OWASP ZAP, Terraform, JFrog Artifactory"
4395,Small,Weekly,High,Manual,Medium,Long,Moderate,"Jenkins, GitLab, Docker, Prometheus, Docker Swarm, SonarQube, Ansible, Nexus Repository"
4396,Large,Weekly,Low,None,Small,Medium,Moderate,"Travis CI, GitLab, Docker, ELK Stack, None, SonarQube, Ansible, Nexus Repository"
4397,Large,Daily,Low,Manual,Medium,Short,None,"Travis CI, GitHub, Docker, ELK Stack, Docker Swarm, OWASP ZAP, Terraform, Nexus Repository"
4398,Large,Monthly,High,None,Medium,Short,Moderate,"Travis CI, Bitbucket, Docker, Prometheus, None, SonarQube, Terraform, Nexus Repository"
4399,Large,Daily,High,Manual,Medium,Short,Moderate,"Travis CI, GitHub, Docker, Prometheus, Docker Swarm, SonarQube, Terraform, Nexus Repository"
4400,Small,Daily,Low,None,Medium,Long,None,"Jenkins, GitHub, Docker, ELK Stack, None, OWASP ZAP, Ansible, Nexus Repository"
4401,Small,Daily,Low,None,Small,Medium,Strict,"Jenkins, GitHub, Docker, ELK Stack, None, HashiCorp Vault, Ansible, Nexus Repository"
4402,Medium,Weekly,Low,Manual,Medium,Short,Moderate,"CircleCI, GitLab, Docker, ELK Stack, Docker Swarm, SonarQube, Terraform, Nexus Repository"
4403,Small,Weekly,High,Manual,Large,Short,Strict,"Jenkins, GitLab, Docker, Prometheus, Docker Swarm, HashiCorp Vault, Terraform, JFrog Artifactory"
4404,Medium,Monthly,Low,Manual,Large,Long,None,"CircleCI, Bitbucket, Docker, ELK Stack, Docker Swarm, OWASP ZAP, Ansible, JFrog Artifactory"
4405,Large,Monthly,Low,Auto-scaling,Large,Short,None,"Travis CI, Bitbucket, Docker, ELK Stack, Kubernetes, OWASP ZAP, Terraform, JFrog Artifactory"
4406,Large,Monthly,Low,Auto-scaling,Large,Long,Strict,"Travis CI, Bitbucket, Docker, ELK Stack, Kubernetes, HashiCorp Vault, Ansible, JFrog Artifactory"
4407,Medium,Daily,High,Auto-scaling,Large,Medium,Moderate,"CircleCI, GitHub, Docker, Prometheus, Kubernetes, SonarQube, Ansible, JFrog Artifactory"
4408,Large,Daily,Medium,Auto-scaling,Small,Medium,Strict,"Travis CI, GitHub, Docker, Grafana, Kubernetes, HashiCorp Vault, Ansible, Nexus Repository"
4409,Medium,Weekly,High,Auto-scaling,Large,Short,None,"CircleCI, GitLab, Docker, Prometheus, Kubernetes, OWASP ZAP, Terraform, JFrog Artifactory"
4410,Small,Weekly,High,Manual,Large,Medium,Moderate,"Jenkins, GitLab, Docker, Prometheus, Docker Swarm, SonarQube, Ansible, JFrog Artifactory"
4411,Small,Monthly,High,Manual,Large,Short,Moderate,"Jenkins, Bitbucket, Docker, Prometheus, Docker Swarm, SonarQube, Terraform, JFrog Artifactory"
4412,Small,Daily,High,None,Medium,Long,None,"Jenkins, GitHub, Docker, Prometheus, None, OWASP ZAP, Ansible, Nexus Repository"
4413,Large,Weekly,Low,None,Large,Long,Strict,"Travis CI, GitLab, Docker, ELK Stack, None, HashiCorp Vault, Ansible, JFrog Artifactory"
4414,Small,Weekly,High,Manual,Medium,Short,None,"Jenkins, GitLab, Docker, Prometheus, Docker Swarm, OWASP ZAP, Terraform, Nexus Repository"
4415,Medium,Daily,Medium,None,Small,Short,Strict,"CircleCI, GitHub, Docker, Grafana, None, HashiCorp Vault, Terraform, Nexus Repository"
4416,Medium,Daily,Low,None,Medium,Long,None,"CircleCI, GitHub, Docker, ELK Stack, None, OWASP ZAP, Ansible, Nexus Repository"
4417,Large,Daily,High,Auto-scaling,Small,Long,Moderate,"Travis CI, GitHub, Docker, Prometheus, Kubernetes, SonarQube, Ansible, Nexus Repository"
4418,Large,Daily,Low,Auto-scaling,Small,Long,None,"Travis CI, GitHub, Docker, ELK Stack, Kubernetes, OWASP ZAP, Ansible, Nexus Repository"
4419,Medium,Daily,High,None,Small,Long,Moderate,"CircleCI, GitHub, Docker, Prometheus, None, SonarQube, Ansible, Nexus Repository"
4420,Medium,Monthly,Low,Manual,Medium,Long,Moderate,"CircleCI, Bitbucket, Docker, ELK Stack, Docker Swarm, SonarQube, Ansible, Nexus Repository"
4421,Large,Monthly,Low,Auto-scaling,Small,Medium,Moderate,"Travis CI, Bitbucket, Docker, ELK Stack, Kubernetes, SonarQube, Ansible, Nexus Repository"
4422,Medium,Weekly,Medium,None,Small,Long,None,"CircleCI, GitLab, Docker, Grafana, None, OWASP ZAP, Ansible, Nexus Repository"
4423,Medium,Daily,Medium,None,Medium,Medium,None,"CircleCI, GitHub, Docker, Grafana, None, OWASP ZAP, Ansible, Nexus Repository"
4424,Large,Weekly,Medium,None,Small,Long,Strict,"Travis CI, GitLab, Docker, Grafana, None, HashiCorp Vault, Ansible, Nexus Repository"
4425,Medium,Monthly,High,None,Large,Long,Moderate,"CircleCI, Bitbucket, Docker, Prometheus, None, SonarQube, Ansible, JFrog Artifactory"
4426,Small,Weekly,Medium,Manual,Small,Short,Moderate,"Jenkins, GitLab, Docker, Grafana, Docker Swarm, SonarQube, Terraform, Nexus Repository"
4427,Small,Monthly,Medium,None,Large,Medium,Strict,"Jenkins, Bitbucket, Docker, Grafana, None, HashiCorp Vault, Ansible, JFrog Artifactory"
4428,Medium,Weekly,Medium,None,Large,Long,None,"CircleCI, GitLab, Docker, Grafana, None, OWASP ZAP, Ansible, JFrog Artifactory"
4429,Medium,Weekly,Medium,Auto-scaling,Large,Short,Strict,"CircleCI, GitLab, Docker, Grafana, Kubernetes, HashiCorp Vault, Terraform, JFrog Artifactory"
4430,Large,Daily,High,Manual,Large,Short,None,"Travis CI, GitHub, Docker, Prometheus, Docker Swarm, OWASP ZAP, Terraform, JFrog Artifactory"
4431,Large,Weekly,Low,None,Large,Short,Strict,"Travis CI, GitLab, Docker, ELK Stack, None, HashiCorp Vault, Terraform, JFrog Artifactory"
4432,Medium,Daily,High,Manual,Medium,Short,None,"CircleCI, GitHub, Docker, Prometheus, Docker Swarm, OWASP ZAP, Terraform, Nexus Repository"
4433,Medium,Monthly,High,Manual,Medium,Medium,Strict,"CircleCI, Bitbucket, Docker, Prometheus, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
4434,Small,Monthly,Low,None,Small,Medium,None,"Jenkins, Bitbucket, Docker, ELK Stack, None, OWASP ZAP, Ansible, Nexus Repository"
4435,Small,Daily,Medium,Manual,Medium,Short,None,"Jenkins, GitHub, Docker, Grafana, Docker Swarm, OWASP ZAP, Terraform, Nexus Repository"
4436,Medium,Weekly,Medium,None,Medium,Short,Strict,"CircleCI, GitLab, Docker, Grafana, None, HashiCorp Vault, Terraform, Nexus Repository"
4437,Small,Daily,Medium,Manual,Large,Medium,None,"Jenkins, GitHub, Docker, Grafana, Docker Swarm, OWASP ZAP, Ansible, JFrog Artifactory"
4438,Large,Weekly,High,Manual,Large,Medium,None,"Travis CI, GitLab, Docker, Prometheus, Docker Swarm, OWASP ZAP, Ansible, JFrog Artifactory"
4439,Large,Monthly,High,Auto-scaling,Medium,Long,Moderate,"Travis CI, Bitbucket, Docker, Prometheus, Kubernetes, SonarQube, Ansible, Nexus Repository"
4440,Small,Daily,High,None,Medium,Short,None,"Jenkins, GitHub, Docker, Prometheus, None, OWASP ZAP, Terraform, Nexus Repository"
4441,Large,Daily,Medium,Manual,Large,Long,Moderate,"Travis CI, GitHub, Docker, Grafana, Docker Swarm, SonarQube, Ansible, JFrog Artifactory"
4442,Small,Monthly,High,None,Medium,Medium,None,"Jenkins, Bitbucket, Docker, Prometheus, None, OWASP ZAP, Ansible, Nexus Repository"
4443,Large,Monthly,Low,Auto-scaling,Small,Short,None,"Travis CI, Bitbucket, Docker, ELK Stack, Kubernetes, OWASP ZAP, Terraform, Nexus Repository"
4444,Medium,Monthly,High,Auto-scaling,Small,Long,Strict,"CircleCI, Bitbucket, Docker, Prometheus, Kubernetes, HashiCorp Vault, Ansible, Nexus Repository"
4445,Medium,Weekly,High,None,Small,Short,Moderate,"CircleCI, GitLab, Docker, Prometheus, None, SonarQube, Terraform, Nexus Repository"
4446,Medium,Monthly,Low,Manual,Medium,Long,Strict,"CircleCI, Bitbucket, Docker, ELK Stack, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
4447,Large,Daily,Medium,Auto-scaling,Small,Medium,Moderate,"Travis CI, GitHub, Docker, Grafana, Kubernetes, SonarQube, Ansible, Nexus Repository"
4448,Large,Daily,High,Manual,Medium,Medium,None,"Travis CI, GitHub, Docker, Prometheus, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
4449,Small,Weekly,High,None,Small,Long,Moderate,"Jenkins, GitLab, Docker, Prometheus, None, SonarQube, Ansible, Nexus Repository"
4450,Medium,Weekly,High,None,Medium,Short,Moderate,"CircleCI, GitLab, Docker, Prometheus, None, SonarQube, Terraform, Nexus Repository"
4451,Medium,Daily,Low,Auto-scaling,Small,Short,Strict,"CircleCI, GitHub, Docker, ELK Stack, Kubernetes, HashiCorp Vault, Terraform, Nexus Repository"
4452,Small,Weekly,Medium,Manual,Small,Long,Moderate,"Jenkins, GitLab, Docker, Grafana, Docker Swarm, SonarQube, Ansible, Nexus Repository"
4453,Small,Daily,Low,Auto-scaling,Large,Short,Moderate,"Jenkins, GitHub, Docker, ELK Stack, Kubernetes, SonarQube, Terraform, JFrog Artifactory"
4454,Medium,Daily,Medium,None,Medium,Long,Moderate,"CircleCI, GitHub, Docker, Grafana, None, SonarQube, Ansible, Nexus Repository"
4455,Large,Daily,Low,Manual,Medium,Long,Strict,"Travis CI, GitHub, Docker, ELK Stack, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
